State,GENERATION,CAPACITY
ANDHRA PRADESH,0.667190497,0.559632503
BIHAR,0.022361309,0.023583149
CHHATTISGARH,0.043806711,0.038709915
DELHI,0.013148959,0.01293512
GUJARAT,0.671548915,0.624723875
HARYANA,0.030823442,0.030327286
HIMACHAL PRADESH,0.104586033,0.063868649
JAMMU & KASHMIR,0.01426574,0.014017566
KARNATAKA,1,1
KERALA,0.036844922,0.029871025
MADHYA PRADESH,0.400531193,0.330038272
MAHARASHTRA,0.708421208,0.673584342
ODISHA,0.030923513,0.0368592
PUNJAB,0.111993757,0.092728812
RAJASTHAN,0.548163804,0.554575304
TAMILNADU,0.833291583,0.914466525
TELANGANA,0.323884482,0.288338435
UTTAR PRADESH,0.260822887,0.212779804
UTTARAKHAND,0.050567306,0.042955822
WEST BENGAL,0.068320384,0.034306378
