State,EnergySource,YearValue,Capacity_MW
Andaman and Nicobar,WIND,2019,0
Andhra Pradesh,WIND,2019,4090.45
Arunachal Pradesh,WIND,2019,0
Assam,WIND,2019,0
Bihar,WIND,2019,0
Chandigarh,WIND,2019,0
Chhattisgarh,WIND,2019,0
Dadra and Nagar Haveli,WIND,2019,0
Daman and Diu,WIND,2019,0
Delhi,WIND,2019,0
Goa,WIND,2019,0
Gujarat,WIND,2019,6073.07
Haryana,WIND,2019,0
Himachal Pradesh,WIND,2019,0
Jammu and Kashmir,WIND,2019,0
Jharkhand,WIND,2019,0
Karnataka,WIND,2019,4694.9
Kerala,WIND,2019,52.5
Lakshadweep,WIND,2019,0
Madhya Pradesh,WIND,2019,2519.89
Maharashtra,WIND,2019,4794.13
Manipur,WIND,2019,0
Meghalaya,WIND,2019,0
Mizoram,WIND,2019,0
Nagaland,WIND,2019,0
Orissa,WIND,2019,0
Puducherry,WIND,2019,0
Punjab,WIND,2019,0
Rajasthan,WIND,2019,4299.72
Sikkim,WIND,2019,0
Tamil Nadu,WIND,2019,8973.21
Telangana,WIND,2019,128.1
Tripura,WIND,2019,0
Uttar Pradesh,WIND,2019,0
Uttaranchal,WIND,2019,0
West Bengal,WIND,2019,0
